serial_no,nice_class_code,mark_id_char,mark_length,statement_text,dict_indicator,pseudo_mark,formatted_text
70029484,30,SWEET CLOVER,2,SYRUP,1,,"[CLS]SWEET CLOVER [SEP] SYRUP [SEP] mark present in Wordnet [SEP] Mark length is 2 [SEP] NICE category is 30 [SEP] Coffee, tea, cocoa and artificial coffee; rice; tapioca and sago; flour and preparations made from cereals; bread, pastries and confectionery; edible ices; sugar, honey, treacle; yeast, baking powder; salt; mustard; vinegar, sauces (condiments); spices; ice. [SEP] Pseudo mark is  [CLS]"
70029529,8,"S D & H SCOVIL'S IMPROVED PLANTER'S HOE CAST STEEL WARRENTED MANUFACTURED SOLELY BY THEM HIGGANUM, CONN.",17,HOES,0,SDH SCOVILS IMPROVED PLANTERS HOE,"[CLS]S D & H SCOVIL'S IMPROVED PLANTER'S HOE CAST STEEL WARRENTED MANUFACTURED SOLELY BY THEM HIGGANUM, CONN. [SEP] HOES [SEP] mark absent in Wordnet [SEP] Mark length is 17 [SEP] NICE category is 8 [SEP] Hand tools and implements (hand-operated); cutlery; side arms; razors. [SEP] Pseudo mark is SDH SCOVILS IMPROVED PLANTERS HOE [CLS]"
70029568,5,MALT-VIVINE,1,MALT EXTRACT,0,,"[CLS]MALT-VIVINE [SEP] MALT EXTRACT [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 5 [SEP] Pharmaceutical and veterinary preparations; sanitary preparations for medical purposes; dietetic food and substances adapted for medical use, food for babies; dietary supplements for humans and animals; plasters, materials for dressings; material for stopping teeth, dental wax; disinfectants; preparations for destroying vermin; fungicides, herbicides. [SEP] Pseudo mark is  [CLS]"
70029573,8,THE RED WARRIOR AXE BY WILLIAM MANN MANUFACTURED NEAR LEWISTOWN PENNA.,11,AXES,0,,[CLS]THE RED WARRIOR AXE BY WILLIAM MANN MANUFACTURED NEAR LEWISTOWN PENNA. [SEP] AXES [SEP] mark absent in Wordnet [SEP] Mark length is 11 [SEP] NICE category is 8 [SEP] Hand tools and implements (hand-operated); cutlery; side arms; razors. [SEP] Pseudo mark is  [CLS]
70029579,17,RED CROSS,2,"HYDRAULIC OR FIRE HOSE MADE OF A PECULIAR CONSTRUCTION IN PLY, &C.",1,,"[CLS]RED CROSS [SEP] HYDRAULIC OR FIRE HOSE MADE OF A PECULIAR CONSTRUCTION IN PLY, &C. [SEP] mark present in Wordnet [SEP] Mark length is 2 [SEP] NICE category is 17 [SEP] Unprocessed and semi-processed rubber, gutta-percha, gum, asbestos, mica and substitutes for all these materials; plastics and resins in extruded form for use in manufacture; packing, stopping and insulating materials; flexible pipes, tubes and hoses, not of metal. [SEP] Pseudo mark is  [CLS]"
70029632,29,QUAKER OATS 1 POUND QUAKER OATS MANUFACTURED BY THE AMERICAN CEREAL CO. ADDRESS CHICAGO U.S.A. USE ONLY QUAKER BRAND ROLLED OATS,21,ROLLED OATS,0,,"[CLS]QUAKER OATS 1 POUND QUAKER OATS MANUFACTURED BY THE AMERICAN CEREAL CO. ADDRESS CHICAGO U.S.A. USE ONLY QUAKER BRAND ROLLED OATS [SEP] ROLLED OATS [SEP] mark absent in Wordnet [SEP] Mark length is 21 [SEP] NICE category is 29 [SEP] Meat, fish, poultry and game; meat extracts; preserved, frozen, dried and cooked fruits and vegetables; jellies, jams, compotes; eggs; milk and milk products; edible oils and fats [SEP] Pseudo mark is  [CLS]"
70029840,10,SANITOL,1,DENTIFRICE,0,,"[CLS]SANITOL [SEP] DENTIFRICE [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 10 [SEP] Surgical, medical, dental and veterinary apparatus and instruments; artificial limbs, eyes and teeth; orthopaedic articles; suture materials; therapeutic and assistive devices adapted for the disabled; massage apparatus; apparatus, devices and articles for nursing infants; sexual activity apparatus, devices and articles. [SEP] Pseudo mark is  [CLS]"
70029876,29,HUDSON BRAND,2,"CANNED FRUITS, VEGETABLES, AND MEATS",1,,"[CLS]HUDSON BRAND [SEP] CANNED FRUITS, VEGETABLES, AND MEATS [SEP] mark present in Wordnet [SEP] Mark length is 2 [SEP] NICE category is 29 [SEP] Meat, fish, poultry and game; meat extracts; preserved, frozen, dried and cooked fruits and vegetables; jellies, jams, compotes; eggs; milk and milk products; edible oils and fats [SEP] Pseudo mark is  [CLS]"
70029910,2,"BPS NOBRAC PAINT THE PATTERSON-SARGENT CO. CLEVELAND, O.",8,CARBON PAINT,0,,"[CLS]BPS NOBRAC PAINT THE PATTERSON-SARGENT CO. CLEVELAND, O. [SEP] CARBON PAINT [SEP] mark absent in Wordnet [SEP] Mark length is 8 [SEP] NICE category is 2 [SEP] Paints, varnishes, lacquers; preservatives against rust and against deterioration of wood; colorants; mordants; raw natural resins; metals in foil and powder form for painters, decorators, printers and artists. [SEP] Pseudo mark is  [CLS]"
70029986,29,KEEPCLEAN,1,BRUSHES,0,,"[CLS]KEEPCLEAN [SEP] BRUSHES [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 29 [SEP] Meat, fish, poultry and game; meat extracts; preserved, frozen, dried and cooked fruits and vegetables; jellies, jams, compotes; eggs; milk and milk products; edible oils and fats [SEP] Pseudo mark is  [CLS]"
70029994,5,ROCHE,1,"CHEMICAL PRODUCTS FOR USE IN MEDICINE AND PHARMACY [ , DISINFECTANTS, AND PERFUMES ]",0,,"[CLS]ROCHE [SEP] CHEMICAL PRODUCTS FOR USE IN MEDICINE AND PHARMACY [ , DISINFECTANTS, AND PERFUMES ] [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 5 [SEP] Pharmaceutical and veterinary preparations; sanitary preparations for medical purposes; dietetic food and substances adapted for medical use, food for babies; dietary supplements for humans and animals; plasters, materials for dressings; material for stopping teeth, dental wax; disinfectants; preparations for destroying vermin; fungicides, herbicides. [SEP] Pseudo mark is  [CLS]"
70030031,25,NORWOOD,1,RUBBER BOOTS AND SHOES.,0,,"[CLS]NORWOOD [SEP] RUBBER BOOTS AND SHOES. [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 25 [SEP] Clothing, footwear, headgear. [SEP] Pseudo mark is  [CLS]"
70030070,7,THE MIEHLE,2,CYLINDER PRESSES,0,,[CLS]THE MIEHLE [SEP] CYLINDER PRESSES [SEP] mark absent in Wordnet [SEP] Mark length is 2 [SEP] NICE category is 7 [SEP] Machines and machine tools; motors and engines (except for land vehicles); machine coupling and transmission components (except for land vehicles); agricultural implements other than hand-operated; incubators for eggs; automatic vending machines. [SEP] Pseudo mark is  [CLS]
70030156,33,"""CASCADE"" DISTILLERY HANDMADE SOUR MASH TENNESSEE WHISKEY GEO. A. DICKEL & CO.",12,WHISKEY,0,,"[CLS]""CASCADE"" DISTILLERY HANDMADE SOUR MASH TENNESSEE WHISKEY GEO. A. DICKEL & CO. [SEP] WHISKEY [SEP] mark absent in Wordnet [SEP] Mark length is 12 [SEP] NICE category is 33 [SEP] Alcoholic beverages (except beers). [SEP] Pseudo mark is  [CLS]"
70030188,8,GIDGEE,1,SHEEP-SHEARS,1,,[CLS]GIDGEE [SEP] SHEEP-SHEARS [SEP] mark present in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 8 [SEP] Hand tools and implements (hand-operated); cutlery; side arms; razors. [SEP] Pseudo mark is  [CLS]
70030214,1,SPARKLETS,1,COMPRESSED CARBONIC-ACID GAS BOTTLED IN SUITABLE SMALL RECEPTACLES AND USED FOR AERATION OF WATER AND OTHER LIQUIDS,0,,"[CLS]SPARKLETS [SEP] COMPRESSED CARBONIC-ACID GAS BOTTLED IN SUITABLE SMALL RECEPTACLES AND USED FOR AERATION OF WATER AND OTHER LIQUIDS [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 1 [SEP] Chemicals used in industry, science and photography, as well as in agriculture, horticulture and forestry; unprocessed artificial resins, unprocessed plastics; manures; fire extinguishing compositions; tempering and soldering preparations; chemical substances for preserving foodstuffs; tanning substances; adhesives used in industry. [SEP] Pseudo mark is  [CLS]"
70030327,30,DURYEAS',1,"CORN-STARCH, CORN-FLOUR [ , AND STARCH FOR LAUNDRY PURPOSES ]",0,,"[CLS]DURYEAS' [SEP] CORN-STARCH, CORN-FLOUR [ , AND STARCH FOR LAUNDRY PURPOSES ] [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 30 [SEP] Coffee, tea, cocoa and artificial coffee; rice; tapioca and sago; flour and preparations made from cereals; bread, pastries and confectionery; edible ices; sugar, honey, treacle; yeast, baking powder; salt; mustard; vinegar, sauces (condiments); spices; ice. [SEP] Pseudo mark is  [CLS]"
70030360,10,REVELATION BURS,2,DENTAL AND SURGICAL BURS,1,,"[CLS]REVELATION BURS [SEP] DENTAL AND SURGICAL BURS [SEP] mark present in Wordnet [SEP] Mark length is 2 [SEP] NICE category is 10 [SEP] Surgical, medical, dental and veterinary apparatus and instruments; artificial limbs, eyes and teeth; orthopaedic articles; suture materials; therapeutic and assistive devices adapted for the disabled; massage apparatus; apparatus, devices and articles for nursing infants; sexual activity apparatus, devices and articles. [SEP] Pseudo mark is  [CLS]"
70030394,17,EAGLE,1,HYDRAULIC HOSE,1,,"[CLS]EAGLE [SEP] HYDRAULIC HOSE [SEP] mark present in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 17 [SEP] Unprocessed and semi-processed rubber, gutta-percha, gum, asbestos, mica and substitutes for all these materials; plastics and resins in extruded form for use in manufacture; packing, stopping and insulating materials; flexible pipes, tubes and hoses, not of metal. [SEP] Pseudo mark is  [CLS]"
70030399,29,ROYAL SCARLET,2,"CANNED AND PRESERVED FRUITS, VEGETABLES, AND FISH, WITH THE EXCEPTION OF SALMON.",1,,"[CLS]ROYAL SCARLET [SEP] CANNED AND PRESERVED FRUITS, VEGETABLES, AND FISH, WITH THE EXCEPTION OF SALMON. [SEP] mark present in Wordnet [SEP] Mark length is 2 [SEP] NICE category is 29 [SEP] Meat, fish, poultry and game; meat extracts; preserved, frozen, dried and cooked fruits and vegetables; jellies, jams, compotes; eggs; milk and milk products; edible oils and fats [SEP] Pseudo mark is  [CLS]"
70030487,21,DANMARK,1,"GOODS OF ART, HOUSEHOLD WARES, AND LUXURY WARES",1,DENMARK,"[CLS]DANMARK [SEP] GOODS OF ART, HOUSEHOLD WARES, AND LUXURY WARES [SEP] mark present in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 21 [SEP] Household or kitchen utensils and containers; combs and sponges; brushes, (except paintbrushes); brush-making materials; articles for cleaning purposes; steelwool; unworked or semi-worked glass, (except building glass used in building); glassware, porcelain and earthenware. [SEP] Pseudo mark is DENMARK [CLS]"
70030580,12,JOHN DEERE,2,WAGONS,1,,"[CLS]JOHN DEERE [SEP] WAGONS [SEP] mark present in Wordnet [SEP] Mark length is 2 [SEP] NICE category is 12 [SEP] Vehicles; apparatus for locomotion by land, air or water. [SEP] Pseudo mark is  [CLS]"
70030595,10,BECKER'S ABC PLASTER,3,MEDICINAL PLASTERS,0,BECKERS ABC PLASTER,"[CLS]BECKER'S ABC PLASTER [SEP] MEDICINAL PLASTERS [SEP] mark absent in Wordnet [SEP] Mark length is 3 [SEP] NICE category is 10 [SEP] Surgical, medical, dental and veterinary apparatus and instruments; artificial limbs, eyes and teeth; orthopaedic articles; suture materials; therapeutic and assistive devices adapted for the disabled; massage apparatus; apparatus, devices and articles for nursing infants; sexual activity apparatus, devices and articles. [SEP] Pseudo mark is BECKERS ABC PLASTER [CLS]"
70030599,16,TIFFANY & CO,3,"PAPER, ENVELOPS, VISITING-CARDS, WEDDING-CARDS, MENU-CARDS, PAPER CARDS, BOXES, PAPER-FOLDERS, PAPER-WEIGHTS, INKSTANDS, PENHOLDERS, PENCILS, PENS, DIES, CARD-PLATES, SEALS, BLANK BOOKS, INKS, AND ENVELOP AND WRITING-PAPER BANDS, AND WRAPPERS FOR ENVELOPS AND WRITING-PAPER, &C",0,,"[CLS]TIFFANY & CO [SEP] PAPER, ENVELOPS, VISITING-CARDS, WEDDING-CARDS, MENU-CARDS, PAPER CARDS, BOXES, PAPER-FOLDERS, PAPER-WEIGHTS, INKSTANDS, PENHOLDERS, PENCILS, PENS, DIES, CARD-PLATES, SEALS, BLANK BOOKS, INKS, AND ENVELOP AND WRITING-PAPER BANDS, AND WRAPPERS FOR ENVELOPS AND WRITING-PAPER, &C [SEP] mark absent in Wordnet [SEP] Mark length is 3 [SEP] NICE category is 16 [SEP] Paper and cardboard; printed matter; bookbinding material; photographs; stationery and office requisites, except furniture; adhesives for stationery or household purposes; artists' and drawing materials; paintbrushes; typewriters and office requisites (except furniture); instructional and teaching materials (except apparatus); plastic materials forsheets, films and bags for wrapping and packaging; printers' type; printing blocks. [SEP] Pseudo mark is  [CLS]"
70030606,25,EUREKA,1,SEAMLESS FABRIC HOSE,1,,"[CLS]EUREKA [SEP] SEAMLESS FABRIC HOSE [SEP] mark present in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 25 [SEP] Clothing, footwear, headgear. [SEP] Pseudo mark is  [CLS]"
70030655,6,KEARSARGE ASBESTOS,2,PACKING MADE OF ASBESTOS AND VARIOUS COMBINATIONS THEREOF,0,,"[CLS]KEARSARGE ASBESTOS [SEP] PACKING MADE OF ASBESTOS AND VARIOUS COMBINATIONS THEREOF [SEP] mark absent in Wordnet [SEP] Mark length is 2 [SEP] NICE category is 6 [SEP] Common metals and their alloys; metal building materials; transportable buildings of metal; materials of metal for railway tracks; non-electric cables and wires of common metal; ironmongery, small items of metal hardware; pipes and tubes of metal; safes; goods of common metal not included in other classes; ores. [SEP] Pseudo mark is  [CLS]"
70030835,8,"BEST AXE MADE W. C. KELLY FLINT EDGE TEMPER ALEXANDRIA, IND, U.S.A.",12,AXES,0,WC KELLY,"[CLS]BEST AXE MADE W. C. KELLY FLINT EDGE TEMPER ALEXANDRIA, IND, U.S.A. [SEP] AXES [SEP] mark absent in Wordnet [SEP] Mark length is 12 [SEP] NICE category is 8 [SEP] Hand tools and implements (hand-operated); cutlery; side arms; razors. [SEP] Pseudo mark is WC KELLY [CLS]"
70030868,23,DMC DOLLFUS-MIEG & CIE. BELFORT-PARIS-MULHOUSE,5,"SEWING COTTON, LINEN AND HEMP YARN AND THREAD, JUTE YARNS, SILK, SPUN, THROWN, OR SEWING, AND YARNS OF WOOL, WORSTED, OR HAIR AND BRAIDS FANCY TRIMMING (PASSEMENTERIE,) COMPOSED OF MATERIALS OF ALL KINDS.",0,,"[CLS]DMC DOLLFUS-MIEG & CIE. BELFORT-PARIS-MULHOUSE [SEP] SEWING COTTON, LINEN AND HEMP YARN AND THREAD, JUTE YARNS, SILK, SPUN, THROWN, OR SEWING, AND YARNS OF WOOL, WORSTED, OR HAIR AND BRAIDS FANCY TRIMMING (PASSEMENTERIE,) COMPOSED OF MATERIALS OF ALL KINDS. [SEP] mark absent in Wordnet [SEP] Mark length is 5 [SEP] NICE category is 23 [SEP] Yarns and threads, for textile use. [SEP] Pseudo mark is  [CLS]"
70030869,23,DMC DOLLFUS-MIEG & CIE MULHOUSE BELFORT,6,"SEWING COTTON, LINEN, AND HENYS YARN, AND THREAD, JUTE YARNS, SILKSPUN OR THROWN OR SEWING, AND YARNS OF WOOL, WORSTED OR HAIR",0,,"[CLS]DMC DOLLFUS-MIEG & CIE MULHOUSE BELFORT [SEP] SEWING COTTON, LINEN, AND HENYS YARN, AND THREAD, JUTE YARNS, SILKSPUN OR THROWN OR SEWING, AND YARNS OF WOOL, WORSTED OR HAIR [SEP] mark absent in Wordnet [SEP] Mark length is 6 [SEP] NICE category is 23 [SEP] Yarns and threads, for textile use. [SEP] Pseudo mark is  [CLS]"
70030910,1,HM,1,"VALVES, COCKS, PRESSURE-REGULATORS, AND TAPPING MACHINES.",1,,"[CLS]HM [SEP] VALVES, COCKS, PRESSURE-REGULATORS, AND TAPPING MACHINES. [SEP] mark present in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 1 [SEP] Chemicals used in industry, science and photography, as well as in agriculture, horticulture and forestry; unprocessed artificial resins, unprocessed plastics; manures; fire extinguishing compositions; tempering and soldering preparations; chemical substances for preserving foodstuffs; tanning substances; adhesives used in industry. [SEP] Pseudo mark is  [CLS]"
70030916,1,JUNKET,1,PREPARATIONS FOR COAGULATING OR CURDLING MILK,1,,"[CLS]JUNKET [SEP] PREPARATIONS FOR COAGULATING OR CURDLING MILK [SEP] mark present in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 1 [SEP] Chemicals used in industry, science and photography, as well as in agriculture, horticulture and forestry; unprocessed artificial resins, unprocessed plastics; manures; fire extinguishing compositions; tempering and soldering preparations; chemical substances for preserving foodstuffs; tanning substances; adhesives used in industry. [SEP] Pseudo mark is  [CLS]"
70030942,1,ODOL,1,"[ POWDERS, ] WASHES [ , SOAPS, SALVES, OILS, AND LOTIONS ] FOR THE TEETH [ , HAIR, AND SKIN ]",0,,"[CLS]ODOL [SEP] [ POWDERS, ] WASHES [ , SOAPS, SALVES, OILS, AND LOTIONS ] FOR THE TEETH [ , HAIR, AND SKIN ] [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 1 [SEP] Chemicals used in industry, science and photography, as well as in agriculture, horticulture and forestry; unprocessed artificial resins, unprocessed plastics; manures; fire extinguishing compositions; tempering and soldering preparations; chemical substances for preserving foodstuffs; tanning substances; adhesives used in industry. [SEP] Pseudo mark is  [CLS]"
70031033,5,CASCARETS,1,A CATHARTIC MEDICINE,0,,"[CLS]CASCARETS [SEP] A CATHARTIC MEDICINE [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 5 [SEP] Pharmaceutical and veterinary preparations; sanitary preparations for medical purposes; dietetic food and substances adapted for medical use, food for babies; dietary supplements for humans and animals; plasters, materials for dressings; material for stopping teeth, dental wax; disinfectants; preparations for destroying vermin; fungicides, herbicides. [SEP] Pseudo mark is  [CLS]"
70031048,1,HEINZ,1,"PICKLES, VINEGAR, SAUCES [, CATSUPS, HORSE-RADISH, PREPARED MUSTARD MINCE-MEAT, PRESERVES, JELLIES, MARMALADES, JAMS, AND FRUIT BUTTERS ]",1,,"[CLS]HEINZ [SEP] PICKLES, VINEGAR, SAUCES [, CATSUPS, HORSE-RADISH, PREPARED MUSTARD MINCE-MEAT, PRESERVES, JELLIES, MARMALADES, JAMS, AND FRUIT BUTTERS ] [SEP] mark present in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 1 [SEP] Chemicals used in industry, science and photography, as well as in agriculture, horticulture and forestry; unprocessed artificial resins, unprocessed plastics; manures; fire extinguishing compositions; tempering and soldering preparations; chemical substances for preserving foodstuffs; tanning substances; adhesives used in industry. [SEP] Pseudo mark is  [CLS]"
70031147,32,HYDROX,1,DISTILLED AND CARBONATED WATERS,0,,[CLS]HYDROX [SEP] DISTILLED AND CARBONATED WATERS [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 32 [SEP] Beers; mineral and aerated waters and other non-alcoholic beverages; fruit beverages and fruit juices; syrups and other preparations for making beverages. [SEP] Pseudo mark is  [CLS]
70031317,32,PEPSOL,1,"SYRUP FOR SOFT DRINKS, SUCH AS SODA-WATER",0,,"[CLS]PEPSOL [SEP] SYRUP FOR SOFT DRINKS, SUCH AS SODA-WATER [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 32 [SEP] Beers; mineral and aerated waters and other non-alcoholic beverages; fruit beverages and fruit juices; syrups and other preparations for making beverages. [SEP] Pseudo mark is  [CLS]"
70031433,16,C. BRANDAUER & CO. STEEL PEN MANUF RS BIRMINGHAM,9,STEEL PENS,0,,"[CLS]C. BRANDAUER & CO. STEEL PEN MANUF RS BIRMINGHAM [SEP] STEEL PENS [SEP] mark absent in Wordnet [SEP] Mark length is 9 [SEP] NICE category is 16 [SEP] Paper and cardboard; printed matter; bookbinding material; photographs; stationery and office requisites, except furniture; adhesives for stationery or household purposes; artists' and drawing materials; paintbrushes; typewriters and office requisites (except furniture); instructional and teaching materials (except apparatus); plastic materials forsheets, films and bags for wrapping and packaging; printers' type; printing blocks. [SEP] Pseudo mark is  [CLS]"
70031498,33,BARTON & GUESTIER FIDE ET FORTITUDINE FOI HONNEUR ET PATRIE BORDEAUX FRANCE,12,WINES,0,,[CLS]BARTON & GUESTIER FIDE ET FORTITUDINE FOI HONNEUR ET PATRIE BORDEAUX FRANCE [SEP] WINES [SEP] mark absent in Wordnet [SEP] Mark length is 12 [SEP] NICE category is 33 [SEP] Alcoholic beverages (except beers). [SEP] Pseudo mark is  [CLS]
70031506,5,ALLENBURYS,1,MEDICINAL PREPARATIONS AND MEDICATED FOODS.,0,,"[CLS]ALLENBURYS [SEP] MEDICINAL PREPARATIONS AND MEDICATED FOODS. [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 5 [SEP] Pharmaceutical and veterinary preparations; sanitary preparations for medical purposes; dietetic food and substances adapted for medical use, food for babies; dietary supplements for humans and animals; plasters, materials for dressings; material for stopping teeth, dental wax; disinfectants; preparations for destroying vermin; fungicides, herbicides. [SEP] Pseudo mark is  [CLS]"
70031548,25,THE MARVEX.,2,GLOVES,0,,"[CLS]THE MARVEX. [SEP] GLOVES [SEP] mark absent in Wordnet [SEP] Mark length is 2 [SEP] NICE category is 25 [SEP] Clothing, footwear, headgear. [SEP] Pseudo mark is  [CLS]"
70031572,16,KOH-I-NOOR.,1,"INDIA-RUBBER FOR DRAFTSMEN'S USE, INK-ERASERS, PENCIL-ERASERS, TYPE-WRITER ERASERS, LIQUID INK FOR DRAFTSMEN, DRAWING-INK FOR ARTISTS, PENCILCASES, PENS AND PENHOLDERS",0,,"[CLS]KOH-I-NOOR. [SEP] INDIA-RUBBER FOR DRAFTSMEN'S USE, INK-ERASERS, PENCIL-ERASERS, TYPE-WRITER ERASERS, LIQUID INK FOR DRAFTSMEN, DRAWING-INK FOR ARTISTS, PENCILCASES, PENS AND PENHOLDERS [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 16 [SEP] Paper and cardboard; printed matter; bookbinding material; photographs; stationery and office requisites, except furniture; adhesives for stationery or household purposes; artists' and drawing materials; paintbrushes; typewriters and office requisites (except furniture); instructional and teaching materials (except apparatus); plastic materials forsheets, films and bags for wrapping and packaging; printers' type; printing blocks. [SEP] Pseudo mark is  [CLS]"
70031633,34,C CHICAGO ATHLETIC ASSOCIATION.,4,CLEAR HAVANA CIGARS,0,,[CLS]C CHICAGO ATHLETIC ASSOCIATION. [SEP] CLEAR HAVANA CIGARS [SEP] mark absent in Wordnet [SEP] Mark length is 4 [SEP] NICE category is 34 [SEP] Tobacco; smokers' articles; matches. [SEP] Pseudo mark is  [CLS]
70031688,5,SANATOGEN,1,DIETETIC ALBUMINOUS PREPARATIONS,0,,"[CLS]SANATOGEN [SEP] DIETETIC ALBUMINOUS PREPARATIONS [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 5 [SEP] Pharmaceutical and veterinary preparations; sanitary preparations for medical purposes; dietetic food and substances adapted for medical use, food for babies; dietary supplements for humans and animals; plasters, materials for dressings; material for stopping teeth, dental wax; disinfectants; preparations for destroying vermin; fungicides, herbicides. [SEP] Pseudo mark is  [CLS]"
70031689,30,GRAPE-NUTS,1,COOKED OR PREPARED CEREAL FOOD FOR HUMAN CONSUMPTION,0,,"[CLS]GRAPE-NUTS [SEP] COOKED OR PREPARED CEREAL FOOD FOR HUMAN CONSUMPTION [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 30 [SEP] Coffee, tea, cocoa and artificial coffee; rice; tapioca and sago; flour and preparations made from cereals; bread, pastries and confectionery; edible ices; sugar, honey, treacle; yeast, baking powder; salt; mustard; vinegar, sauces (condiments); spices; ice. [SEP] Pseudo mark is  [CLS]"
70031735,4,VACUUM,1,OILS,1,,"[CLS]VACUUM [SEP] OILS [SEP] mark present in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 4 [SEP] Industrial oils and greases; lubricants; dust absorbing, wetting and binding compositions; fuels (including motor spirit) and illuminants; candles and wicks for lighting. [SEP] Pseudo mark is  [CLS]"
70031900,30,"""SALADA""",1,TEA,0,,"[CLS]""SALADA"" [SEP] TEA [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 30 [SEP] Coffee, tea, cocoa and artificial coffee; rice; tapioca and sago; flour and preparations made from cereals; bread, pastries and confectionery; edible ices; sugar, honey, treacle; yeast, baking powder; salt; mustard; vinegar, sauces (condiments); spices; ice. [SEP] Pseudo mark is  [CLS]"
70031907,24,KERATOL,1,TEXTILE MATERIAL PROVIDED WITH A FLEXIBLE WATER-PROOF COATING,0,,[CLS]KERATOL [SEP] TEXTILE MATERIAL PROVIDED WITH A FLEXIBLE WATER-PROOF COATING [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 24 [SEP] Textiles and substitutes for textiles; bed covers; table covers; household linen; curtains of textile or plastic. [SEP] Pseudo mark is  [CLS]
70032036,12,UNION PACIFIC OVERLAND THE ROUTE,5,RAILWAY FREIGHT [ AND PASSENGER ] CARS,0,,"[CLS]UNION PACIFIC OVERLAND THE ROUTE [SEP] RAILWAY FREIGHT [ AND PASSENGER ] CARS [SEP] mark absent in Wordnet [SEP] Mark length is 5 [SEP] NICE category is 12 [SEP] Vehicles; apparatus for locomotion by land, air or water. [SEP] Pseudo mark is  [CLS]"
70032058,17,MONITOR,1,RUBBER-LINED COTTON HOSE,1,,"[CLS]MONITOR [SEP] RUBBER-LINED COTTON HOSE [SEP] mark present in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 17 [SEP] Unprocessed and semi-processed rubber, gutta-percha, gum, asbestos, mica and substitutes for all these materials; plastics and resins in extruded form for use in manufacture; packing, stopping and insulating materials; flexible pipes, tubes and hoses, not of metal. [SEP] Pseudo mark is  [CLS]"
70032109,29,S.S.P. CO. PURITAS ET CURA,5,"BAKING-POWDER, YEAST, CANNED VEGETABLES, CANNED FISH, CANNED MEATS, COFFEE, TEA, CURED MEATS, FLOUR, SPICES, MUSTARD, SALT, SUGAR, SYRUP, MOLASSES, LAUNDRY SOAP, BUTTER, CHEESE, EGGS, LARD, CONDENSED MILK, CONDIMENTS, SAUCES, AND PICKLES",0,SSP,"[CLS]S.S.P. CO. PURITAS ET CURA [SEP] BAKING-POWDER, YEAST, CANNED VEGETABLES, CANNED FISH, CANNED MEATS, COFFEE, TEA, CURED MEATS, FLOUR, SPICES, MUSTARD, SALT, SUGAR, SYRUP, MOLASSES, LAUNDRY SOAP, BUTTER, CHEESE, EGGS, LARD, CONDENSED MILK, CONDIMENTS, SAUCES, AND PICKLES [SEP] mark absent in Wordnet [SEP] Mark length is 5 [SEP] NICE category is 29 [SEP] Meat, fish, poultry and game; meat extracts; preserved, frozen, dried and cooked fruits and vegetables; jellies, jams, compotes; eggs; milk and milk products; edible oils and fats [SEP] Pseudo mark is SSP [CLS]"
70032134,5,KODOL,1,PREPARATION FOR ALLEVIATING DISCOMFORTS OF EXCESS STOMACH ACIDITY AND IMPROVING THE APPETITE,0,,"[CLS]KODOL [SEP] PREPARATION FOR ALLEVIATING DISCOMFORTS OF EXCESS STOMACH ACIDITY AND IMPROVING THE APPETITE [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 5 [SEP] Pharmaceutical and veterinary preparations; sanitary preparations for medical purposes; dietetic food and substances adapted for medical use, food for babies; dietary supplements for humans and animals; plasters, materials for dressings; material for stopping teeth, dental wax; disinfectants; preparations for destroying vermin; fungicides, herbicides. [SEP] Pseudo mark is  [CLS]"
